# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,label
9593,260654,12,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9601,204812,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1
9602,442200,4,0,20,0,0,0,0,0,0,0,0,0,0,1,1
9603,325817,12,0,0,0,0,0,0,0,0,0,0,0,0,21,1
9604,251358,0,0,4,0,0,0,4,0,0,0,3,0,0,1,1
9606,144303,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9608,260672,0,0,2,0,0,0,1,0,0,0,4,0,0,1,1
9609,144303,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9610,158268,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9611,763374,0,37,0,0,6,0,0,0,0,1,0,0,0,2,1
9612,237386,7,0,3,0,0,0,0,0,0,0,0,0,7,2,1
9613,148958,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9614,237398,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
9615,162901,21,0,0,0,0,2,0,0,0,0,0,0,0,1,1
9616,754024,17,0,0,0,52,0,0,0,0,15,0,0,0,2,1
9618,768029,0,37,0,0,6,0,0,0,0,1,0,0,0,2,1
9619,339789,14,0,0,0,0,0,9,2,0,0,0,0,0,1,1
9623,437549,2,0,18,0,0,0,0,0,0,0,0,0,0,1,1
9625,507373,0,0,7,0,0,9,0,0,4,0,0,0,0,2,1
9626,428239,1,0,2,0,0,0,14,0,0,0,0,0,0,4,1
9628,181523,8,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9629,349035,56,0,15,0,2,0,0,0,0,0,0,0,0,17,1
9630,256013,0,0,4,0,0,0,4,0,0,0,3,0,0,1,1
9631,521286,13,0,58,0,0,2,0,0,0,0,0,0,0,1,1
9632,321157,2,2,0,0,0,0,32,0,0,0,0,0,0,2,1
9634,339789,14,0,0,0,0,0,9,2,0,0,0,0,0,1,1
9638,1028690,0,55,0,0,7,0,0,0,0,1,0,0,0,2,1
9639,265321,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9641,246645,0,13,0,19,0,8,0,6,0,11,0,0,0,13,1
9643,297898,8,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9644,223432,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1
9645,256017,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1
9653,432894,1,0,2,0,0,0,14,0,0,0,0,0,0,4,1
9654,246696,1,0,0,0,0,0,14,0,0,0,0,0,0,4,1
9655,148958,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9657,134988,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
9660,256019,0,0,2,0,2,0,0,0,0,0,0,0,0,2,1
9661,260665,0,0,0,0,0,0,12,0,0,0,0,0,0,3,1
9662,172213,8,0,0,0,0,0,0,0,0,0,0,0,0,14,1
